uf;tema;tipo_instituicao;instituicao;status;negociado;executado
Amazonas;Desenvolvimento Turístico;Governo Estadual;Governo do estado de amazonas;Não iniciado;5920864.23;59208.64230000001
Bahia;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de salvador;Não iniciado;8800920.16;0.0
Bahia;Desenvolvimento Turístico;Banco Federal;Bnb;Não iniciado;0.0;0.0
Pernambuco;Desenvolvimento Turístico;Banco Federal;Bnb;Não iniciado;0.0;0.0
Pernambuco;Desenvolvimento Turístico;Banco Federal;Bnb;Não iniciado;0.0;0.0
Pernambuco;Desenvolvimento Turístico;Banco Federal;Bnb;Não iniciado;0.0;0.0
Mato Grosso;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de cuiabá;Não iniciado;853846.15;0.0
Paraná;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de curitiba;Não iniciado;3787282.05;0.0
São Paulo;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de são paulo;Não iniciado;21695652.17;0.0
São Paulo;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de são paulo;Em andamento;2500000.0;0.0
Mato Grosso;Outros;Governo Federal;Ministério do esporte;Em andamento;9554852.28;6019556.9364
;Comunicação;Governo Federal;Embratur - instituto brasileiro de turismo;Concluído;6600000.0;6600000.0
Rio Grande do Sul;Aeroportos;Governo Federal;Infraero;Em andamento;23780000.0;19499600.0
Mato Grosso;Segurança Pública;Governo Federal;Sesge/min. justiça;Em andamento;25000000.0;25000000.0
Rio de Janeiro;Desenvolvimento Turístico;Entidade Privada;Arena leme hotel ltda;Em andamento;0.0;0.0
Rio de Janeiro;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal do rio de janeiro;Não iniciado;515384.62;0.0
Mato Grosso;Outros;Governo Federal;Ministério do esporte;Concluído;490389.8;490389.8
Minas Gerais;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado de minas gerais;Concluído;37000000.0;37000000.0
Distrito Federal;Instalações Complementares (Copa 2014);Governo Distrital;Governo do distrito federal;Concluído;28400000.0;28400000.0
Ceará;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado do ceará;Concluído;27100000.0;27100000.0
Pernambuco;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado de pernambuco;Concluído;33900000.0;33900000.0
Rio de Janeiro;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado do rio de janeiro;Concluído;66000000.0;66000000.0
Bahia;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado da bahia;Concluído;37000000.0;37000000.0
Mato Grosso;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado de mato grosso;Concluído;35500000.0;35500000.0
Paraná;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado do paraná;Concluído;26000000.0;26000000.0
Amazonas;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado de amazonas;Concluído;123600000.0;123600000.0
Rio Grande do Norte;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado do rio grande do norte;Concluído;30700000.0;30700000.0
Rio Grande do Sul;Instalações Complementares (Copa 2014);Governo Estadual;Governo do estado do rio grande do sul;Concluído;25000000.0;25000000.0
São Paulo;Instalações Complementares (Copa 2014);Entidade Privada;Arena fundo de investimento imobiliario - fii;Concluído;107900000.0;107900000.0
Mato Grosso;Telecomunicações;Governo Federal;Ministério das comunicações;Concluído;145710450.0;145710450.0
Mato Grosso;Segurança Pública;Governo Federal;Comando da aeronáutica;Concluído;3125504.58;3125504.58
